country,region,rank,score,gdp,support,health,freedom,generosity,corruption,year
Switzerland,Western Europe,1,7.587000,1.396510,1.349510,0.941430,0.665570,0.296780,0.419780,2015
Iceland,Western Europe,2,7.561000,1.302320,1.402230,0.947840,0.628770,0.436300,0.141450,2015
Denmark,Western Europe,3,7.527000,1.325480,1.360580,0.874640,0.649380,0.341390,0.483570,2015
Norway,Western Europe,4,7.522000,1.459000,1.330950,0.885210,0.669730,0.346990,0.365030,2015
Canada,North America,5,7.427000,1.326290,1.322610,0.905630,0.632970,0.458110,0.329570,2015
Finland,Western Europe,6,7.406000,1.290250,1.318260,0.889110,0.641690,0.233510,0.413720,2015
Netherlands,Western Europe,7,7.378000,1.329440,1.280170,0.892840,0.615760,0.476100,0.318140,2015
Sweden,Western Europe,8,7.364000,1.331710,1.289070,0.910870,0.659800,0.362620,0.438440,2015
New Zealand,Australia and New Zealand,9,7.286000,1.250180,1.319670,0.908370,0.639380,0.475010,0.429220,2015
Australia,Australia and New Zealand,10,7.284000,1.333580,1.309230,0.931560,0.651240,0.435620,0.356370,2015
Israel,Middle East and Northern Africa,11,7.278000,1.228570,1.223930,0.913870,0.413190,0.331720,0.077850,2015
Costa Rica,Latin America and Caribbean,12,7.226000,0.955780,1.237880,0.860270,0.633760,0.254970,0.105830,2015
Austria,Western Europe,13,7.200000,1.337230,1.297040,0.890420,0.624330,0.330880,0.186760,2015
Mexico,Latin America and Caribbean,14,7.187000,1.020540,0.914510,0.814440,0.481810,0.140740,0.213120,2015
United States,North America,15,7.119000,1.394510,1.247110,0.861790,0.546040,0.401050,0.158900,2015
Brazil,Latin America and Caribbean,16,6.983000,0.981240,1.232870,0.697020,0.490490,0.145740,0.175210,2015
Luxembourg,Western Europe,17,6.946000,1.563910,1.219630,0.918940,0.615830,0.280340,0.377980,2015
Ireland,Western Europe,18,6.940000,1.335960,1.369480,0.895330,0.617770,0.459010,0.287030,2015
Belgium,Western Europe,19,6.937000,1.307820,1.285660,0.896670,0.584500,0.222500,0.225400,2015
United Arab Emirates,Middle East and Northern Africa,20,6.901000,1.427270,1.125750,0.809250,0.641570,0.264280,0.385830,2015
United Kingdom,Western Europe,21,6.867000,1.266370,1.285480,0.909430,0.596250,0.519120,0.320670,2015
Oman,Middle East and Northern Africa,22,6.853000,1.360110,1.081820,0.762760,0.632740,0.215420,0.325240,2015
Venezuela,Latin America and Caribbean,23,6.810000,1.044240,1.255960,0.720520,0.429080,0.058410,0.110690,2015
Singapore,Southeastern Asia,24,6.798000,1.521860,1.020000,1.025250,0.542520,0.311050,0.492100,2015
Panama,Latin America and Caribbean,25,6.786000,1.063530,1.198500,0.796610,0.542100,0.244340,0.092700,2015
Germany,Western Europe,26,6.750000,1.327920,1.299370,0.891860,0.614770,0.282140,0.218430,2015
Chile,Latin America and Caribbean,27,6.670000,1.107150,1.124470,0.858570,0.441320,0.333630,0.128690,2015
Qatar,Middle East and Northern Africa,28,6.611000,1.690420,1.078600,0.797330,0.640400,0.325730,0.522080,2015
France,Western Europe,29,6.575000,1.277780,1.260380,0.945790,0.550110,0.123320,0.206460,2015
Argentina,Latin America and Caribbean,30,6.574000,1.053510,1.248230,0.787230,0.449740,0.114510,0.084840,2015
Czech Republic,Central and Eastern Europe,31,6.505000,1.178980,1.206430,0.844830,0.463640,0.106860,0.026520,2015
Uruguay,Latin America and Caribbean,32,6.485000,1.061660,1.208900,0.811600,0.603620,0.232400,0.245580,2015
Colombia,Latin America and Caribbean,33,6.477000,0.918610,1.240180,0.690770,0.534660,0.184010,0.051200,2015
Thailand,Southeastern Asia,34,6.455000,0.966900,1.265040,0.738500,0.556640,0.576300,0.031870,2015
Saudi Arabia,Middle East and Northern Africa,35,6.411000,1.395410,1.083930,0.720250,0.310480,0.137060,0.325240,2015
Spain,Western Europe,36,6.329000,1.230110,1.313790,0.955620,0.459510,0.182270,0.063980,2015
Malta,Western Europe,37,6.302000,1.207400,1.302030,0.887210,0.603650,0.517520,0.135860,2015
Taiwan,Eastern Asia,38,6.298000,1.290980,1.076170,0.875300,0.397400,0.253760,0.081290,2015
Kuwait,Middle East and Northern Africa,39,6.295000,1.554220,1.165940,0.724920,0.554990,0.162280,0.256090,2015
Suriname,Latin America and Caribbean,40,6.269000,0.995340,0.972000,0.608200,0.596570,0.169910,0.136330,2015
Trinidad and Tobago,Latin America and Caribbean,41,6.168000,1.211830,1.183540,0.614830,0.558840,0.318440,0.011400,2015
El Salvador,Latin America and Caribbean,42,6.130000,0.764540,1.025070,0.677370,0.403500,0.106920,0.117760,2015
Guatemala,Latin America and Caribbean,43,6.123000,0.745530,1.043560,0.644250,0.577330,0.274890,0.094720,2015
Uzbekistan,Central and Eastern Europe,44,6.003000,0.632440,1.340430,0.597720,0.658210,0.228370,0.308260,2015
Slovakia,Central and Eastern Europe,45,5.995000,1.168910,1.269990,0.789020,0.317510,0.168930,0.034310,2015
Japan,Eastern Asia,46,5.987000,1.270740,1.257120,0.991110,0.496150,0.107050,0.180600,2015
South Korea,Eastern Asia,47,5.984000,1.244610,0.957740,0.965380,0.332080,0.185570,0.078570,2015
Ecuador,Latin America and Caribbean,48,5.975000,0.864020,0.999030,0.790750,0.485740,0.115410,0.180900,2015
Bahrain,Middle East and Northern Africa,49,5.960000,1.323760,1.216240,0.747160,0.454920,0.173620,0.306000,2015
Italy,Western Europe,50,5.948000,1.251140,1.197770,0.954460,0.262360,0.228230,0.029010,2015
Bolivia,Latin America and Caribbean,51,5.890000,0.681330,0.978410,0.539200,0.574140,0.205360,0.088000,2015
Moldova,Central and Eastern Europe,52,5.889000,0.594480,1.015280,0.618260,0.328180,0.209510,0.016150,2015
Paraguay,Latin America and Caribbean,53,5.878000,0.759850,1.304770,0.660980,0.538990,0.342400,0.082420,2015
Kazakhstan,Central and Eastern Europe,54,5.855000,1.122540,1.122410,0.643680,0.516490,0.118270,0.084540,2015
Slovenia,Central and Eastern Europe,55,5.848000,1.184980,1.273850,0.873370,0.608550,0.253280,0.037870,2015
Lithuania,Central and Eastern Europe,56,5.833000,1.147230,1.257450,0.731280,0.213420,0.026410,0.010310,2015
Nicaragua,Latin America and Caribbean,57,5.828000,0.593250,1.141840,0.743140,0.554750,0.278150,0.193170,2015
Peru,Latin America and Caribbean,58,5.824000,0.900190,0.974590,0.730170,0.414960,0.149820,0.059890,2015
Belarus,Central and Eastern Europe,59,5.813000,1.031920,1.232890,0.736080,0.379380,0.110460,0.190900,2015
Poland,Central and Eastern Europe,60,5.791000,1.125550,1.279480,0.779030,0.531220,0.167590,0.042120,2015
Malaysia,Southeastern Asia,61,5.770000,1.124860,1.070230,0.723940,0.530240,0.330750,0.105010,2015
Croatia,Central and Eastern Europe,62,5.759000,1.082540,0.796240,0.788050,0.258830,0.054440,0.024300,2015
Libya,Middle East and Northern Africa,63,5.754000,1.131450,1.118620,0.703800,0.416680,0.182950,0.110230,2015
Russia,Central and Eastern Europe,64,5.716000,1.137640,1.236170,0.669260,0.366790,0.001990,0.030050,2015
Jamaica,Latin America and Caribbean,65,5.709000,0.810380,1.151020,0.687410,0.504420,0.212300,0.022990,2015
North Cyprus,Western Europe,66,5.695000,1.208060,1.070080,0.923560,0.490270,0.261690,0.142800,2015
Cyprus,Western Europe,67,5.689000,1.208130,0.893180,0.923560,0.406720,0.306380,0.061460,2015
Algeria,Middle East and Northern Africa,68,5.605000,0.939290,1.077720,0.617660,0.285790,0.078220,0.173830,2015
Kosovo,Central and Eastern Europe,69,5.589000,0.801480,0.811980,0.631320,0.247490,0.283100,0.047410,2015
Turkmenistan,Central and Eastern Europe,70,5.548000,0.958470,1.226680,0.538860,0.476100,0.169790,0.308440,2015
Mauritius,Sub-Saharan Africa,71,5.477000,1.007610,0.985210,0.709500,0.560660,0.377440,0.075210,2015
Hong Kong,Eastern Asia,72,5.474000,1.386040,1.058180,1.013280,0.596080,0.394780,0.371240,2015
Estonia,Central and Eastern Europe,73,5.429000,1.151740,1.227910,0.773610,0.448880,0.086800,0.151840,2015
Indonesia,Southeastern Asia,74,5.399000,0.828270,1.087080,0.637930,0.466110,0.515350,0.000000,2015
Vietnam,Southeastern Asia,75,5.360000,0.632160,0.912260,0.746760,0.594440,0.168600,0.104410,2015
Turkey,Middle East and Northern Africa,76,5.332000,1.060980,0.946320,0.731720,0.228150,0.122530,0.157460,2015
Kyrgyzstan,Central and Eastern Europe,77,5.286000,0.474280,1.151150,0.650880,0.434770,0.300300,0.042320,2015
Nigeria,Sub-Saharan Africa,78,5.268000,0.654350,0.904320,0.160070,0.343340,0.272330,0.040300,2015
Bhutan,Southern Asia,79,5.253000,0.770420,1.103950,0.574070,0.532060,0.479980,0.154450,2015
Azerbaijan,Central and Eastern Europe,80,5.212000,1.023890,0.937930,0.640450,0.370300,0.077990,0.160650,2015
Pakistan,Southern Asia,81,5.194000,0.595430,0.414110,0.514660,0.121020,0.336710,0.104640,2015
Jordan,Middle East and Northern Africa,82,5.192000,0.901980,1.053920,0.696390,0.406610,0.110530,0.142930,2015
Montenegro,Central and Eastern Europe,82,5.192000,0.974380,0.905570,0.725210,0.182600,0.161400,0.142960,2015
China,Eastern Asia,84,5.140000,0.890120,0.946750,0.816580,0.516970,0.081850,0.027810,2015
Zambia,Sub-Saharan Africa,85,5.129000,0.470380,0.916120,0.299240,0.488270,0.195910,0.124680,2015
Romania,Central and Eastern Europe,86,5.124000,1.043450,0.885880,0.768900,0.350680,0.137480,0.006490,2015
Serbia,Central and Eastern Europe,87,5.123000,0.920530,1.009640,0.748360,0.201070,0.192310,0.026170,2015
Portugal,Western Europe,88,5.102000,1.159910,1.139350,0.875190,0.514690,0.137190,0.010780,2015
Latvia,Central and Eastern Europe,89,5.098000,1.113120,1.095620,0.724370,0.296710,0.182260,0.063320,2015
Philippines,Southeastern Asia,90,5.073000,0.705320,1.035160,0.581140,0.625450,0.249910,0.122790,2015
Somaliland region,Sub-Saharan Africa,91,5.057000,0.188470,0.951520,0.438730,0.465820,0.503180,0.399280,2015
Morocco,Middle East and Northern Africa,92,5.013000,0.734790,0.640950,0.609540,0.416910,0.071720,0.085460,2015
Macedonia,Central and Eastern Europe,93,5.007000,0.918510,1.002320,0.735450,0.334570,0.223590,0.053270,2015
Mozambique,Sub-Saharan Africa,94,4.971000,0.083080,1.026260,0.091310,0.340370,0.222690,0.156030,2015
Albania,Central and Eastern Europe,95,4.959000,0.878670,0.804340,0.813250,0.357330,0.142720,0.064130,2015
Bosnia and Herzegovina,Central and Eastern Europe,96,4.949000,0.832230,0.919160,0.790810,0.092450,0.248080,0.002270,2015
Lesotho,Sub-Saharan Africa,97,4.898000,0.375450,1.041030,0.076120,0.317670,0.163880,0.125040,2015
Dominican Republic,Latin America and Caribbean,98,4.885000,0.895370,1.172020,0.668250,0.576720,0.216840,0.142340,2015
Laos,Southeastern Asia,99,4.876000,0.590660,0.738030,0.549090,0.595910,0.421920,0.242490,2015
Mongolia,Eastern Asia,100,4.874000,0.828190,1.300600,0.602680,0.436260,0.332300,0.026660,2015
Swaziland,Sub-Saharan Africa,101,4.867000,0.712060,1.072840,0.075660,0.306580,0.182590,0.030600,2015
Greece,Western Europe,102,4.857000,1.154060,0.929330,0.882130,0.076990,0.000000,0.013970,2015
Lebanon,Middle East and Northern Africa,103,4.839000,1.025640,0.800010,0.839470,0.339160,0.218540,0.045820,2015
Hungary,Central and Eastern Europe,104,4.800000,1.120940,1.202150,0.759050,0.321120,0.128000,0.027580,2015
Honduras,Latin America and Caribbean,105,4.788000,0.595320,0.953480,0.695100,0.401480,0.230270,0.068250,2015
Tajikistan,Central and Eastern Europe,106,4.786000,0.390470,0.855630,0.573790,0.472160,0.229740,0.150720,2015
Tunisia,Middle East and Northern Africa,107,4.739000,0.881130,0.604290,0.737930,0.262680,0.064310,0.063580,2015
Palestinian Territories,Middle East and Northern Africa,108,4.715000,0.598670,0.925580,0.660150,0.244990,0.112510,0.129050,2015
Bangladesh,Southern Asia,109,4.694000,0.397530,0.431060,0.601640,0.408200,0.212220,0.125690,2015
Iran,Middle East and Northern Africa,110,4.686000,1.008800,0.544470,0.698050,0.300330,0.380860,0.058630,2015
Ukraine,Central and Eastern Europe,111,4.681000,0.799070,1.202780,0.673900,0.251230,0.152750,0.029610,2015
Iraq,Middle East and Northern Africa,112,4.677000,0.985490,0.818890,0.602370,0.000000,0.179220,0.137880,2015
South Africa,Sub-Saharan Africa,113,4.642000,0.920490,1.184680,0.276880,0.332070,0.119730,0.088840,2015
Ghana,Sub-Saharan Africa,114,4.633000,0.545580,0.679540,0.401320,0.423420,0.230870,0.043550,2015
Zimbabwe,Sub-Saharan Africa,115,4.610000,0.271000,1.032760,0.334750,0.258610,0.189870,0.080790,2015
Liberia,Sub-Saharan Africa,116,4.571000,0.071200,0.789680,0.342010,0.285310,0.243620,0.062320,2015
India,Southern Asia,117,4.565000,0.644990,0.381740,0.515290,0.397860,0.264750,0.084920,2015
Sudan,Sub-Saharan Africa,118,4.550000,0.521070,1.014040,0.368780,0.100810,0.190620,0.146600,2015
Haiti,Latin America and Caribbean,119,4.518000,0.266730,0.743020,0.388470,0.244250,0.461870,0.171750,2015
Congo (Kinshasa),Sub-Saharan Africa,120,4.517000,0.000000,1.001200,0.098060,0.226050,0.248340,0.076250,2015
Nepal,Southern Asia,121,4.514000,0.359970,0.864490,0.568740,0.382820,0.322960,0.059070,2015
Ethiopia,Sub-Saharan Africa,122,4.512000,0.190730,0.604060,0.440550,0.434500,0.243250,0.150480,2015
Sierra Leone,Sub-Saharan Africa,123,4.507000,0.330240,0.955710,0.000000,0.408400,0.214880,0.087860,2015
Mauritania,Sub-Saharan Africa,124,4.436000,0.454070,0.869080,0.358740,0.242320,0.219000,0.174610,2015
Kenya,Sub-Saharan Africa,125,4.419000,0.364710,0.998760,0.414350,0.422150,0.375420,0.058390,2015
Djibouti,Sub-Saharan Africa,126,4.369000,0.440250,0.592070,0.362910,0.460740,0.180930,0.281050,2015
Armenia,Central and Eastern Europe,127,4.350000,0.768210,0.777110,0.729900,0.198470,0.078550,0.039000,2015
Botswana,Sub-Saharan Africa,128,4.332000,0.993550,1.104640,0.047760,0.494950,0.104610,0.124740,2015
Myanmar,Southeastern Asia,129,4.307000,0.271080,0.709050,0.482460,0.440170,0.795880,0.190340,2015
Georgia,Central and Eastern Europe,130,4.297000,0.741900,0.385620,0.729260,0.405770,0.055470,0.383310,2015
Malawi,Sub-Saharan Africa,131,4.292000,0.016040,0.411340,0.225620,0.430540,0.331280,0.069770,2015
Sri Lanka,Southern Asia,132,4.271000,0.835240,1.019050,0.708060,0.537260,0.408280,0.091790,2015
Cameroon,Sub-Saharan Africa,133,4.252000,0.422500,0.887670,0.234020,0.493090,0.206180,0.057860,2015
Bulgaria,Central and Eastern Europe,134,4.218000,1.012160,1.106140,0.766490,0.305870,0.119210,0.008720,2015
Egypt,Middle East and Northern Africa,135,4.194000,0.881800,0.747000,0.617120,0.172880,0.112910,0.063240,2015
Yemen,Middle East and Northern Africa,136,4.077000,0.546490,0.680930,0.400640,0.355710,0.091310,0.078540,2015
Angola,Sub-Saharan Africa,137,4.033000,0.757780,0.860400,0.166830,0.103840,0.123440,0.071220,2015
Mali,Sub-Saharan Africa,138,3.995000,0.260740,1.035260,0.205830,0.388570,0.187980,0.123520,2015
Congo (Brazzaville),Sub-Saharan Africa,139,3.989000,0.678660,0.662900,0.310510,0.414660,0.123880,0.116860,2015
Comoros,Sub-Saharan Africa,140,3.956000,0.239060,0.792730,0.363150,0.229170,0.174410,0.199000,2015
Uganda,Sub-Saharan Africa,141,3.931000,0.211020,1.132990,0.338610,0.457270,0.290660,0.072670,2015
Senegal,Sub-Saharan Africa,142,3.904000,0.364980,0.976190,0.435400,0.367720,0.208430,0.107130,2015
Gabon,Sub-Saharan Africa,143,3.896000,1.060240,0.905280,0.433720,0.319140,0.068220,0.110910,2015
Niger,Sub-Saharan Africa,144,3.845000,0.069400,0.772650,0.297070,0.476920,0.193870,0.156390,2015
Cambodia,Southeastern Asia,145,3.819000,0.460380,0.627360,0.611140,0.662460,0.403590,0.072470,2015
Tanzania,Sub-Saharan Africa,146,3.781000,0.285200,1.002680,0.382150,0.328780,0.343770,0.057470,2015
Madagascar,Sub-Saharan Africa,147,3.681000,0.208240,0.668010,0.467210,0.191840,0.213330,0.081240,2015
Central African Republic,Sub-Saharan Africa,148,3.678000,0.078500,0.000000,0.066990,0.488790,0.238350,0.082890,2015
Chad,Sub-Saharan Africa,149,3.667000,0.341930,0.760620,0.150100,0.235010,0.183860,0.052690,2015
Guinea,Sub-Saharan Africa,150,3.656000,0.174170,0.464750,0.240090,0.377250,0.286570,0.121390,2015
Ivory Coast,Sub-Saharan Africa,151,3.655000,0.465340,0.771150,0.151850,0.468660,0.201650,0.179220,2015
Burkina Faso,Sub-Saharan Africa,152,3.587000,0.258120,0.851880,0.271250,0.394930,0.217470,0.128320,2015
Afghanistan,Southern Asia,153,3.575000,0.319820,0.302850,0.303350,0.234140,0.365100,0.097190,2015
Rwanda,Sub-Saharan Africa,154,3.465000,0.222080,0.773700,0.428640,0.592010,0.226280,0.551910,2015
Benin,Sub-Saharan Africa,155,3.340000,0.286650,0.353860,0.319100,0.484500,0.182600,0.080100,2015
Syria,Middle East and Northern Africa,156,3.006000,0.663200,0.474890,0.721930,0.156840,0.471790,0.189060,2015
Burundi,Sub-Saharan Africa,157,2.905000,0.015300,0.415870,0.223960,0.118500,0.197270,0.100620,2015
Togo,Sub-Saharan Africa,158,2.839000,0.208680,0.139950,0.284430,0.364530,0.166810,0.107310,2015
Denmark,Western Europe,1,7.526000,1.441780,1.163740,0.795040,0.579410,0.361710,0.444530,2016
Switzerland,Western Europe,2,7.509000,1.527330,1.145240,0.863030,0.585570,0.280830,0.412030,2016
Iceland,Western Europe,3,7.501000,1.426660,1.183260,0.867330,0.566240,0.476780,0.149750,2016
Norway,Western Europe,4,7.498000,1.577440,1.126900,0.795790,0.596090,0.378950,0.357760,2016
Finland,Western Europe,5,7.413000,1.405980,1.134640,0.810910,0.571040,0.254920,0.410040,2016
Canada,North America,6,7.404000,1.440150,1.096100,0.827600,0.573700,0.448340,0.313290,2016
Netherlands,Western Europe,7,7.339000,1.464680,1.029120,0.812310,0.552110,0.474160,0.299270,2016
New Zealand,Australia and New Zealand,8,7.334000,1.360660,1.172780,0.830960,0.581470,0.494010,0.419040,2016
Australia,Australia and New Zealand,9,7.313000,1.444430,1.104760,0.851200,0.568370,0.474070,0.323310,2016
Sweden,Western Europe,10,7.291000,1.451810,1.087640,0.831210,0.582180,0.382540,0.408670,2016
Israel,Middle East and Northern Africa,11,7.267000,1.337660,0.995370,0.849170,0.364320,0.322880,0.087280,2016
Austria,Western Europe,12,7.119000,1.450380,1.083830,0.805650,0.543550,0.328650,0.213480,2016
United States,North America,13,7.104000,1.507960,1.047820,0.779000,0.481630,0.410770,0.148680,2016
Costa Rica,Latin America and Caribbean,14,7.087000,1.068790,1.021520,0.761460,0.552250,0.225530,0.105470,2016
Puerto Rico,Latin America and Caribbean,15,7.039000,1.359430,1.081130,0.777580,0.468230,0.222020,0.122750,2016
Germany,Western Europe,16,6.994000,1.447870,1.097740,0.814870,0.534660,0.304520,0.285510,2016
Brazil,Latin America and Caribbean,17,6.952000,1.087540,1.039380,0.614150,0.404250,0.157760,0.141660,2016
Belgium,Western Europe,18,6.929000,1.425390,1.052490,0.819590,0.513540,0.242400,0.262480,2016
Ireland,Western Europe,19,6.907000,1.483410,1.161570,0.814550,0.540080,0.449630,0.297540,2016
Luxembourg,Western Europe,20,6.871000,1.697520,1.039990,0.845420,0.548700,0.275710,0.353290,2016
Mexico,Latin America and Caribbean,21,6.778000,1.115080,0.714600,0.711430,0.377090,0.117350,0.183550,2016
Singapore,Southeastern Asia,22,6.739000,1.645550,0.867580,0.947190,0.487700,0.327060,0.469870,2016
United Kingdom,Western Europe,23,6.725000,1.402830,1.086720,0.809910,0.500360,0.501560,0.273990,2016
Chile,Latin America and Caribbean,24,6.705000,1.216700,0.905870,0.818830,0.377890,0.315950,0.114510,2016
Panama,Latin America and Caribbean,25,6.701000,1.183060,0.989120,0.708350,0.489270,0.241800,0.084230,2016
Argentina,Latin America and Caribbean,26,6.650000,1.151370,1.066120,0.697110,0.422840,0.109890,0.072960,2016
Czech Republic,Central and Eastern Europe,27,6.596000,1.309150,1.007930,0.763760,0.414180,0.099290,0.039860,2016
United Arab Emirates,Middle East and Northern Africa,28,6.573000,1.573520,0.871140,0.729930,0.562150,0.265910,0.355610,2016
Uruguay,Latin America and Caribbean,29,6.545000,1.181570,1.031430,0.721830,0.543880,0.180560,0.213940,2016
Malta,Western Europe,30,6.488000,1.307820,1.098790,0.803150,0.549940,0.562370,0.175540,2016
Colombia,Latin America and Caribbean,31,6.481000,1.030320,1.021690,0.596590,0.447350,0.156260,0.053990,2016
France,Western Europe,32,6.478000,1.394880,1.005080,0.837950,0.465620,0.121600,0.178080,2016
Thailand,Southeastern Asia,33,6.474000,1.089300,1.044770,0.649150,0.495530,0.586960,0.028330,2016
Saudi Arabia,Middle East and Northern Africa,34,6.379000,1.489530,0.848290,0.592670,0.379040,0.154570,0.300080,2016
Taiwan,Eastern Asia,34,6.379000,1.397290,0.926240,0.795650,0.323770,0.254950,0.066300,2016
Qatar,Middle East and Northern Africa,36,6.375000,1.824270,0.879640,0.717230,0.566790,0.323880,0.480490,2016
Spain,Western Europe,37,6.361000,1.342530,1.129450,0.878960,0.375450,0.176650,0.061370,2016
Algeria,Middle East and Northern Africa,38,6.355000,1.052660,0.833090,0.618040,0.210060,0.070440,0.161570,2016
Guatemala,Latin America and Caribbean,39,6.324000,0.834540,0.871190,0.540390,0.503790,0.288080,0.087010,2016
Suriname,Latin America and Caribbean,40,6.269000,1.096860,0.778660,0.509330,0.522340,0.166650,0.126920,2016
Kuwait,Middle East and Northern Africa,41,6.239000,1.617140,0.877580,0.635690,0.431660,0.159650,0.236690,2016
Bahrain,Middle East and Northern Africa,42,6.218000,1.440240,0.943970,0.656960,0.473750,0.171470,0.257720,2016
Trinidad and Tobago,Latin America and Caribbean,43,6.168000,1.325720,0.985690,0.526080,0.484530,0.319350,0.012410,2016
Venezuela,Latin America and Caribbean,44,6.084000,1.133670,1.033020,0.619040,0.198470,0.042500,0.083040,2016
Slovakia,Central and Eastern Europe,45,6.078000,1.279730,1.082680,0.703670,0.233910,0.138370,0.029470,2016
El Salvador,Latin America and Caribbean,46,6.068000,0.873700,0.809750,0.596000,0.372690,0.088770,0.106130,2016
Malaysia,Southeastern Asia,47,6.005000,1.251420,0.880250,0.623660,0.390310,0.414740,0.090810,2016
Nicaragua,Latin America and Caribbean,48,5.992000,0.693840,0.895210,0.652130,0.465820,0.297730,0.162920,2016
Uzbekistan,Central and Eastern Europe,49,5.987000,0.735910,1.168100,0.501630,0.608480,0.343260,0.283330,2016
Italy,Western Europe,50,5.977000,1.354950,1.041670,0.851020,0.188270,0.166840,0.025560,2016
Ecuador,Latin America and Caribbean,51,5.976000,0.973060,0.859740,0.686130,0.402700,0.100740,0.180370,2016
Belize,Latin America and Caribbean,52,5.956000,0.876160,0.686550,0.455690,0.512310,0.236840,0.107710,2016
Japan,Eastern Asia,53,5.921000,1.380070,1.060540,0.914910,0.467610,0.102240,0.189850,2016
Kazakhstan,Central and Eastern Europe,54,5.919000,1.229430,0.955440,0.573860,0.405200,0.150110,0.111320,2016
Moldova,Central and Eastern Europe,55,5.897000,0.691770,0.831320,0.523090,0.252020,0.199970,0.019030,2016
Russia,Central and Eastern Europe,56,5.856000,1.232280,1.052610,0.589910,0.326820,0.027360,0.035860,2016
Poland,Central and Eastern Europe,57,5.835000,1.245850,1.046850,0.690580,0.451900,0.144430,0.055000,2016
South Korea,Eastern Asia,57,5.835000,1.359480,0.721940,0.886450,0.251680,0.188240,0.077160,2016
Bolivia,Latin America and Caribbean,59,5.822000,0.794220,0.837790,0.469700,0.509610,0.216980,0.077460,2016
Lithuania,Central and Eastern Europe,60,5.813000,1.269200,1.064110,0.646740,0.189290,0.020250,0.018200,2016
Belarus,Central and Eastern Europe,61,5.802000,1.130620,1.049930,0.631040,0.290910,0.139420,0.174570,2016
North Cyprus,Western Europe,62,5.771000,1.311410,0.818260,0.841420,0.435960,0.263220,0.165780,2016
Slovenia,Central and Eastern Europe,63,5.768000,1.299470,1.056130,0.791510,0.531640,0.257380,0.036350,2016
Peru,Latin America and Caribbean,64,5.743000,0.996020,0.812550,0.629940,0.375020,0.145270,0.052920,2016
Turkmenistan,Central and Eastern Europe,65,5.658000,1.080170,1.038170,0.440060,0.374080,0.225670,0.284670,2016
Mauritius,Sub-Saharan Africa,66,5.648000,1.143720,0.756950,0.661890,0.461450,0.369510,0.052030,2016
Libya,Middle East and Northern Africa,67,5.615000,1.066880,0.950760,0.523040,0.406720,0.170870,0.103390,2016
Latvia,Central and Eastern Europe,68,5.560000,1.217880,0.950250,0.639520,0.279960,0.174450,0.088900,2016
Cyprus,Western Europe,69,5.546000,1.318570,0.706970,0.848800,0.295070,0.279060,0.052280,2016
Paraguay,Latin America and Caribbean,70,5.538000,0.893730,1.111110,0.582950,0.462350,0.252960,0.073960,2016
Romania,Central and Eastern Europe,71,5.528000,1.169700,0.728030,0.676020,0.367120,0.128890,0.006790,2016
Estonia,Central and Eastern Europe,72,5.517000,1.279640,1.051630,0.680980,0.415110,0.084230,0.185190,2016
Jamaica,Latin America and Caribbean,73,5.510000,0.893330,0.963720,0.594690,0.435970,0.222450,0.042940,2016
Croatia,Central and Eastern Europe,74,5.488000,1.186490,0.608090,0.705240,0.239070,0.184340,0.040020,2016
Hong Kong,Eastern Asia,75,5.458000,1.510700,0.870210,0.952770,0.480790,0.400970,0.316470,2016
Somalia,Sub-Saharan Africa,76,5.440000,0.000000,0.336130,0.114660,0.567780,0.272250,0.311800,2016
Kosovo,Central and Eastern Europe,77,5.401000,0.901450,0.660620,0.540000,0.143960,0.279920,0.065470,2016
Turkey,Middle East and Northern Africa,78,5.389000,1.164920,0.877170,0.647180,0.238890,0.047070,0.123480,2016
Indonesia,Southeastern Asia,79,5.314000,0.951040,0.876250,0.493740,0.392370,0.565210,0.003220,2016
Jordan,Middle East and Northern Africa,80,5.303000,0.996730,0.862160,0.607120,0.360230,0.142620,0.132970,2016
Azerbaijan,Central and Eastern Europe,81,5.291000,1.123730,0.760420,0.545040,0.353270,0.056400,0.179140,2016
Philippines,Southeastern Asia,82,5.279000,0.812170,0.878770,0.470360,0.548540,0.216740,0.117570,2016
China,Eastern Asia,83,5.245000,1.027800,0.793810,0.735610,0.440120,0.049590,0.027450,2016
Bhutan,Southern Asia,84,5.196000,0.852700,0.908360,0.497590,0.460740,0.485460,0.161600,2016
Kyrgyzstan,Central and Eastern Europe,85,5.185000,0.560440,0.954340,0.554490,0.402120,0.384320,0.047620,2016
Serbia,Central and Eastern Europe,86,5.177000,1.034370,0.813290,0.645800,0.157180,0.207370,0.043390,2016
Bosnia and Herzegovina,Central and Eastern Europe,87,5.163000,0.933830,0.643670,0.707660,0.095110,0.298890,0.000000,2016
Montenegro,Central and Eastern Europe,88,5.161000,1.078380,0.741730,0.635330,0.151110,0.171910,0.127210,2016
Dominican Republic,Latin America and Caribbean,89,5.155000,1.027870,0.994960,0.576690,0.522590,0.212860,0.123720,2016
Morocco,Middle East and Northern Africa,90,5.151000,0.840580,0.385950,0.594710,0.256460,0.040530,0.084040,2016
Hungary,Central and Eastern Europe,91,5.145000,1.241420,0.931640,0.676080,0.197700,0.099000,0.044720,2016
Pakistan,Southern Asia,92,5.132000,0.688160,0.261350,0.403060,0.146220,0.311850,0.138800,2016
Lebanon,Middle East and Northern Africa,93,5.129000,1.122680,0.641840,0.761710,0.262280,0.236930,0.030610,2016
